slug,url,model,brand,collection,price_value,price_currency,terrain,use_case,release_year,date_published,pronation_support,arch_type,strike_pattern,pace_recommendation,features_special,season,widths_available,material,type_tags,condition,stack_height_mm_heel,stack_height_mm_forefoot,drop_mm,midsole_softness_HA,midsole_softness_in_cold_HA,midsole_softness_in_cold_pct,shock_absorption_SA_heel,shock_absorption_SA_forefoot,energy_return_pct_heel,energy_return_pct_forefoot,weight_g,width_fit_mm_new,width_fit_mm_old,toebox_width_mm_new,toebox_width_mm_old,toebox_height_mm,platform_width_mm_forefoot,platform_width_mm_heel,breathability_score,traction_wet_score,flexibility_force_N,flexibility_force_N_old,stiffness_in_cold_N,cold_stiffness_change_pct,durability_toebox_score,durability_heel_score,durability_outsole_wear_mm,outsole_thickness_mm,outsole_hardness_HC,insole_thickness_mm,tongue_padding_mm,tongue_gusset,heel_tab,removable_insole,orthotic_friendly,breathability_rating,torsional_rigidity_rating,heel_counter_stiffness_rating,reflective_elements,audience_verdict_raw,audience_score,verdict_summary,pros,cons,who_should_buy,who_should_not_buy,price_usd
topo-athletic-atmos,https://runrepeat.com/topo-athletic-atmos,Topo Atmos,Topo Athletic,,3456830.0,IDR,Road,Jogging|Walking|All-day wear,,2025-02-05T10:20:01+00:00,Neutral Pronation|Supination|Underpronation,High arch,Forefoot|Midfoot strike,Daily running,Orthotic friendly|Cushioned|Removable insole,All seasons,Normal|Wide,Mesh,Comfortable|For heavy runners|For big guys|Maximalist,Shin splints|Bunions,37.8 mm,32.5 mm,5.3 mm,20.0 HA,25.7 HA,28%,130 SA,,48.3%,,275.0,98.5 mm,,85.0 mm,,29.8 mm,119.1 mm,96.8 mm,3,0.39,15.1N,29.6N,35.1N,19%,2,5,0.8 mm,3.4 mm,76.5 HC,4.1 mm,6.5 mm,None,None,Yes,True,3.0,5.0,4.0,No,Audience verdict 90 Great! Top 13% in road running shoes Top 21% in comfortable running shoes,90,"Topo finally steps into the max-cushioned category, and in our experience, the Atmos is a strong first effort.",Max-cushioned comfort|Ultra-spacious toebox|Stable ride|Premium Ortholite footbed|Midfoot-friendly geometry|Lightweight for its huge size|Great for easy long runs|No heel slippage,Lacks energy return|Not for narrow-footed runners|Could be a bit more flexible,Runners seeking a max-cushioned shoe with a generously spacious toebox while avoiding a zero-drop platform.|Longtime Topo Athletic fans excited for a high-stack workhorse to complement their rotation.|Midfoot or forefoot strikers looking for a long-distance shoe with unmatched toe splay.,"We believe that runners seeking an ultra-plush ride will find the Atmos underwhelming—its ZipFoam midsole lacks the soft, sink-in feel of some max-cushioned trainers. If comfort-driven cushioning is your priority, we suggest the New Balance Fresh Foam 1080 v14 , especially for those with narrow feet who need a more tailored fit.|From our perspective, Topo fans accustomed to the brand’s nimble designs may also be disappointed. The Atmos is a bulky, rigid workhorse that sacrifices agility for stability. If that’s a concern, we recommend the Topo Cyclone 2 , which delivers a more energetic and lightweight experience.|Additionally, die-hard zero-drop runners will likely pass on this one—it has a moderate drop, making the Altra VIA Olympus 2 a better alternative.",207.74
topo-athletic-phantom-3,https://runrepeat.com/topo-athletic-phantom-3,Topo Phantom 3,Topo Athletic,,3168770.0,IDR,Road,Jogging|Walking|All-day wear,,2025-01-31T09:24:49+00:00,Neutral Pronation|Supination|Underpronation,High arch,Forefoot|Midfoot strike,Daily running,Orthotic friendly|Sockless wear|Cushioned|Removable insole|Sustainable,All seasons,Normal|Wide,Mesh,,,32.6 mm,26.8 mm,5.8 mm,19.7 HA,28.3 HA,43%,113 SA,,48.4%,,269.0,96.5 mm,,82.1 mm,,29.2 mm,113.3 mm,86.4 mm,3,0.43,12.2N,22.6N,33.6N,49%,2,5,1.0 mm,3.7 mm,83.6 HC,4.4 mm,5.9 mm,None,None,Yes,True,3.0,4.0,4.0,No,Audience verdict 89 Great! Top 27% in road running shoes Top 27% in neutral running shoes,89,"The Topo Phantom 3 is a great pick for runners who need a spacious, foot-shaped toebox with ample room in all directions.","Spacious, foot-shaped toebox|Good versatility as a daily trainer|Ideal for high-volume feet|Lightweight|Premium Ortholite insole|Well suited for midfoot and forefoot strikers|Comfortable for walking too|Stable ride",Needs a better foam﻿|Firmer feel|Not for narrow feet,Runners who enjoy the natural feel of Altra shoes but prefer a slightly higher heel-to-toe drop.|Those with high-volume feet seeking an accommodating upper that provides generous space both vertically and horizontally.|Midfoot and forefoot strikers looking for a roomy daily trainer that allows for amazing toe splay.|Anyone wanting to break away from mainstream brands!,"We think that runners seeking a lively, high-energy midsole should look elsewhere—the Phantom 3 simply doesn’t deliver that propulsive, bouncy ride. For a more springy experience, we recommend the ASICS Novablast 5 or the PUMA Velocity Nitro 3 , both of which offer softer, more energetic cushioning.|In our view, runners with narrow feet will likely struggle with the foot-shaped toebox of this shoe. For some, the extra room may feel excessive, causing an insecure fit. If you prefer a snugger forefoot lockdown, we suggest looking at the Hoka Mach 6 or the Nike Pegasus 41 —both provide a more contoured fit at a comparable price.",190.43
asics-glideride-max,https://runrepeat.com/asics-glideride-max,ASICS Glideride Max,ASICS,Asics Glideride,3456830.0,IDR,Road,Jogging|Walking|All-day wear,,2025-01-30T10:31:43+00:00,Neutral Pronation|Supination|Underpronation,High arch,Heel strike,Daily running,Orthotic friendly|Cushioned|Removable insole|Rocker,All seasons,Normal|Wide,Mesh|Reflective,Maximalist,Shin splints,44.1 mm,31.4 mm,12.7 mm,17.8 HA,21.0 HA,18%,143 SA,,51.9%,,281.0,95.7 mm,,72.9 mm,,27.4 mm,113.8 mm,95.7 mm,3,0.78,13.3N,26.1N,28.3N,8%,2,4,0.9 mm,4.0 mm,80.5 HC,4.8 mm,6.0 mm,Both sides (semi),Pull tab,Yes,True,3.0,5.0,5.0,Yes,Audience verdict 92 Superb! Top 3% in road running shoes Top 6% in ASICS running shoes,92,"The ASICS Glideride Max offers deep cushioning and a smooth, well-balanced rocker, making it an excellent pick for easy, set-and-forget paces.",Tons of cushioning!|Smooth rockered ride|Secure and well-built upper|No heel slippage|Feels lighter than its stack suggests|Fantastic for high-mileage training|Optimized for heel strikers|Somewhat stable despite its size|World-class grip﻿,Pricey for its performance|Stiffer build limits comfort|Not the best for walking|Needs more energy return,"Runners prioritizing ultimate muscle and joint protection for easy to moderate paces, even if it means spending a bit more.|Heel strikers seeking a plush-yet-stable daily trainer with excellent impact absorption.|Marathoners wanting a long-run workhorse that keeps legs fresh for faster training days.","We believe the ASICS Glideride Max’s steep price makes it a hard sell as a daily trainer, especially when the ASICS Novablast 5 delivers a similarly cushioned ride with a full FF Blast Max midsole, lower weight, and a lower price.|Additionally, we found that the Glideride Max lacks the agility needed for handle speedwork. Its stiff construction and towering stack make it less suitable for faster paces, leaving it feeling sluggish. If versatility is a priority, we strongly recommend looking at the Adidas Adizero EVO SL or the Hoka Mach 6 —both of which are lighter, more responsive, and easier on your wallet.",207.74
new-balance-fresh-foam-x-balos,https://runrepeat.com/new-balance-fresh-foam-x-balos,New Balance Fresh Foam X Balos,New Balance,New Balance Fresh Foam|New Balance Fresh Foam X,4225020.0,IDR,Road,Jogging|Treadmill|Walking|All-day wear,,2025-01-27T11:39:59+00:00,Neutral Pronation|Supination|Underpronation,High arch,Forefoot|Midfoot strike,Daily running,Orthotic friendly|Cushioned|Removable insole|Rocker,All seasons,Normal|Wide,Knit|Mesh|Reflective,Breathable|For heavy runners|Maximalist|Lightweight,Shin splints,37.8 mm,31.9 mm,5.9 mm,11.6 HA,14.4 HA,24%,158 SA,,55.1%,,247.0,95.3 mm,,72.8 mm,,24.5 mm,117.6 mm,99.7 mm,4,0.48,12.7N,17.3N,23.4N,36%,1,4,0.5 mm,4.5 mm,81.0 HC,4.7 mm,2.5 mm,Both sides (full),Extended heel collar,Yes,True,4.0,4.0,4.0,Yes,Audience verdict 90 Great! Top 21% in road running shoes Top 15% in New Balance running shoes,90,The Fresh Foam X Balos delivers a unique running experience with its ultra-rockered sole and plush foam.,"Plush, cloud-like cushioning|Amazing rockered geometry|Lightweight for its size|Breathable, moisture-wicking upper|Ideal for long runs and recovery days|Works for walking if needed|Fantastic knit tongue|Superb for midfoot strikers|360-degree reflectivity",Low-volume toebox|Price feels a bit excessive|Not enough energy return|EVA outsole raises durability concerns,"A super-plush daily trainer that we believe will delight fans of the OG Nike Invincible.|Perfect for midfoot strikers who value a cushioned-yet-lightweight ride for easy runs or long distances.|Ideal for runners who enjoy the 1080 series but wish for a lighter, more rockered option.","The biggest downside of the Balos is its steep price, which places it at the upper end of premium daily trainers. In our view, the performance doesn’t entirely justify the cost. For runners seeking a more reasonable price/performance ratio, we recommend the ASICS Novablast 5 or the Adidas Adizero EVO SL .|We also believe the energy return from the Fresh Foam X midsole falls short for a shoe at this price point. If superior bounce is what you’re after, the ASICS Superblast 2 offers a lighter build, more cushioning, and a state-of-the-art midsole.",253.91
adidas-ultraboost-5-x,https://runrepeat.com/adidas-ultraboost-5-x,Adidas Ultraboost 5X,Adidas,Adidas Ultraboost,3456830.0,IDR,Road,Hyrox|Jogging|Walking|All-day wear,,2025-01-22T09:42:53+00:00,Neutral Pronation|Supination|Underpronation,High arch,Heel strike,Daily running,Orthotic friendly|Cushioned|Removable insole,All seasons,Normal|Wide,Knit|Reflective,,,34.6 mm,24.2 mm,10.4 mm,16.4 HA,22.0 HA,34%,129 SA,,66.0%,,266.0,96.2 mm,,75.4 mm,,23.9 mm,115.4 mm,94.5 mm,3,0.52,11.4N,18.5N,20.2N,10%,5,5,0.4 mm,2.6 mm,79.4 HC,3.1 mm,1.5 mm,Sock like,Extended heel collar,Yes,True,3.0,4.0,3.0,Yes,Audience verdict 91 Superb! Top 11% in road running shoes Top 16% in Adidas running shoes Top 20% most popular running shoes,91,"The Adidas Ultraboost 5X delivers the revamp this series needed, combining weight reduction, a premium-knit upper, and unmatched durability.","Works well as a casual sneaker too|Premium, high-quality materials throughout|Stretchy, roomy upper|Fantastic energy return|Built-to-last durability|Best Ultraboost version to date|Stable for heel strikers|Increased stack height|Noticeable weight reduction|Grips very well",Steep price|Ventilation falls short of expectations|Limited to slower paces|Less stack height than advertised,"Runners who love the Ultraboost series but wanted a lighter design.|Heel strikers ready to invest in a premium shoe with luxurious materials.|Those seeking unbeatable durability paired with a stretchy, comfy knit upper.|Anyone unconcerned about price seeking a versatile shoe for casual runs and everyday wear.","We believe the Ultraboost 5X falls short of justifying its premium price for those concerned about performance, as it lacks the energy return found in similarly priced options like the Nike Pegasus Plus . And for better performance value, the ASICS Novablast 5 and Hoka Mach 6 provide a bouncier ride at a more affordable cost.|Additionally, we think the Ultraboost 5X may not appeal to those who prefer the classic Ultraboost design. If weight isn’t a concern and you value the traditional midfoot plastic cage for improved lockdown, the Ultraboost 5 is a better choice.",207.74
adidas-adizero-adios-pro-4,https://runrepeat.com/adidas-adizero-adios-pro-4,Adidas Adizero Adios Pro 4,Adidas,Adidas Adizero,4801160.0,IDR,Road,,,2025-01-19T15:24:56+00:00,Neutral Pronation|Supination|Underpronation,High arch,Forefoot|Midfoot strike,Competition,Orthotic friendly|Cushioned|Carbon plate|Removable insole|Rocker,All seasons,Normal|Wide,Mesh,Maximalist|Lightweight,,36.6 mm,28.5 mm,8.1 mm,11.0 HA,11.8 HA,7%,142 SA,,80.4%,,200.0,93.2 mm,,69.5 mm,,28.3 mm,118.8 mm,80.4 mm,2,0.55,22.7N,31.9N,38.8N,22%,1,5,0.8 mm,1.0 mm,41.0 HC,1.9 mm,5.6 mm,Both sides (semi),Pull tab,Yes,True,2.0,4.0,1.0,No,Audience verdict 93 Superb! Top 1% in road running shoes Top 7% in Adidas running shoes Top 16% most popular running shoes,93,"Adidas took what felt like an eternity to release the Adios Pro 4, but in our experience, the wait was absolutely worth it.","Softer, bouncier Lightstrike Pro foam|Maintains the same price|No more heel slippage|Versatile from 5K to marathon distances|Durable outsole with outstanding grip|Fantastic for midfoot and forefoot strikers|Improved for faster runners|Comfortable, gusseted tongue|Lighter than Adios Pro 3","Unstable for every heel striker|Narrow, tapered toebox|Upper lacks breathability|Midsole loses bounce quicker than AP3","Runners who found the Adios Pro 3 too firm, disliked its upper, or struggled with its heel lockdown.|Anyone in need of a responsive-and-grippy supershoe that excels across every race distance from 5k to marathons.|Midfoot and forefoot strikers looking for a plush supershoe.|Runners who prefer a more flexible racing shoe over ultra-stiff options.","The Adios Pro 4 brings exciting updates, but we believe it also introduces some drawbacks worth considering. The fit, for instance, now features a tapered-toebox design that sacrifices the wide-foot comfort of the Adios Pro 3 , which we found more accommodating. If that’s a concern, we recommend the Nike Alphafly 3 for its spacious fit and superior comfort over long distances.|Additionally, heel strikers may find the Adios Pro 4 really unstable due to its exceptionally narrow heel. For a more supportive option, we suggest the Saucony Endorphin Pro 4 .|For those who find the price or stiffness of traditional supershoes off-putting, we’re convinced the Adidas Adizero EVO SL is a smarter choice. It retains much of the Adios Pro 3’s performance without the carbon plate, offering a forgiving ride that’s much easier on the wallet.",288.53
new-balance-fresh-foam-x-1080-v14,https://runrepeat.com/new-balance-fresh-foam-x-1080-v14,New Balance Fresh Foam X 1080 v14,New Balance,New Balance Fresh Foam|New Balance Fresh Foam X|New Balance Fresh Foam X 1080,3648880.0,IDR,Road,Jogging|Treadmill|Walking|All-day wear,,2025-01-17T09:53:42+00:00,Neutral Pronation|Supination|Underpronation,High arch,Heel strike|Forefoot|Midfoot strike,Daily running,Orthotic friendly|Cushioned|Removable insole|Rocker,All seasons,Narrow|Normal|Wide|X-Wide,Mesh|Reflective,Breathable|Low drop|Maximalist,Shin splints|Knee pain,37.0 mm,32.8 mm,4.2 mm,11.9 HA,15.0 HA,26%,142 SA,,58.0%,,285.0,95.4 mm,,69.8 mm,,27.0 mm,118.8 mm,94.6 mm,4,0.52,15.8N,26.4N,29.7N,13%,4,3,0.6 mm,3.6 mm,76.7 HC,3.9 mm,8.9 mm,Both sides (semi),None,Yes,True,4.0,4.0,4.0,Yes,Audience verdict 86 Good! Top 1% most popular running shoes,86,"New Balance set out to enhance stability in the Fresh Foam X 1080 v14, but in our tests, this came at the cost of noticeable weight gain—a step back from its predecessor.",Amazing step-in feel|Excellent durability|Cloud-soft midsole|Ideal for forefoot and midfoot strikers|Perfect for recovery runs|Airy upper|Fairly priced for a premium daily trainer|Stability improvements,Noticeable weight increase|Tapered toebox limits toe splay|Midsole could be too soft for some|Lacks energy return,Runners who value superior comfort in both the midsole and upper.|Those seeking plush cushioning paired with first-class durability for consistent daily training.|Marathoners looking for a recovery shoe that ensures a soft ride after tough workouts.,"The 1080 v14 gains noticeable weight compared to its predecessor, making it feel heavy—a definite drawback for runners seeking a lighter ride. In our view, the ASICS Novablast 5 is a stronger alternative for those concerned about this issue.|We also found that the Fresh Foam X midsole remains overly soft, which might not suit runners who prefer a more stable and responsive cushioning experience. If that’s you, we suggest looking at the Brooks Hyperion Max 2 or the Saucony Triumph 22 , both of which strike a better balance between softness and energy return.|Finally, this shoe leans heavily toward comfort and lacks a dynamic ride for faster paces. Runners seeking more speed and energy return should consider the Adidas Adizero EVO SL , which delivers a more responsive and performance-driven midsole at a lower price.",219.29
nike-zoom-fly-6,https://runrepeat.com/nike-zoom-fly-6,Nike Zoom Fly 6,Nike,Nike Zoom Fly,3264790.0,IDR,Road,,,2025-01-15T10:53:22+00:00,Neutral Pronation|Supination|Underpronation,High arch,Heel strike|Forefoot|Midfoot strike,Tempo|Competition,Orthotic friendly|Cushioned|Carbon plate|Removable insole|Rocker,All seasons,Normal,Mesh|Reflective,Maximalist|Lightweight,,39.7 mm,30.1 mm,9.6 mm,16.1 HA,17.0 HA,6%,144 SA,,61.0%,,248.0,90.9 mm,,72.6 mm,,24.5 mm,111.9 mm,87.9 mm,3,0.42,21.5N,35.5N,40.8N,15%,5,5,0.8 mm,3.2 mm,82.0 HC,3.0 mm,6.1 mm,Both sides (semi),None,Yes,True,3.0,5.0,4.0,Yes,Audience verdict 92 Superb! Top 4% in road running shoes Top 3% in Nike running shoes Top 8% most popular running shoes,92,We were impressed by how the Zoom Fly 6 addressed the shortcomings of its predecessor.,"The Zoom Fly is back!|Fairly priced|Versatile, performance-ready supertrainer|Reasonable weight|Can handle all paces|Comfortable upper|Outstanding durability|Amazing for tempo and marathon workouts",Toebox is narrow and restrictive|SR-02 foam lacks bounce|Could be more stable,"It's interesting for runners not yet ready to commit to a supershoe who are seeking a blend of performance and comfort.|Those who disliked (or hated!) the bulky Zoom Fly 5 will love the Zoom Fly 6's lighter build, superb cushioning, and responsive feel.|It's ideal for runners seeking an reasonably-priced, durable alternative to a supershoe, offering a similar ride but built to last.|Could be perfect for those in need of a single shoe capable of daily runs, speed sessions, and even race-day performance.","We believe the Zoom Fly 6 makes significant improvements over its predecessor, but it still has limitations that could deter some runners. In our view, the snug toebox could be a major drawback for many. For a roomier option, we recommend the Mizuno Neo Vista , featuring an accommodating toebox and a stretchy knit upper that comfortably adapts to your feet.|Additionally, we found that the streamlined shape of the ZF6 reduces its stability, which may concern runners seeking a more supportive ride. If stability is a top priority, the ASICS Superblast 2 is an excellent alternative with its world-class support. And for those less concerned about weight, the Hoka Skyward X offers a balanced and durable option with plenty of cushioning.",196.2
asics-novablast-5,https://runrepeat.com/asics-novablast-5,ASICS Novablast 5,ASICS,Asics Novablast,2880700.0,IDR,Road,Jogging|Treadmill,,2024-12-10T16:50:50+00:00,Neutral Pronation|Supination|Underpronation,High arch,Heel strike|Forefoot|Midfoot strike,Daily running|Tempo,Orthotic friendly|Cushioned|Removable insole|Rocker,All seasons,Normal|Wide,Mesh|Reflective,Comfortable|For heavy runners|For big guys|Maximalist,Shin splints,40.9 mm,33.5 mm,7.4 mm,13.0 HA,18.5 HA,42%,141 SA,,63.6%,,254.0,97.5 mm,98.9 mm,74.4 mm,79.5 mm,27.2 mm,122.3 mm,97.6 mm,3,0.53,11.2N,19.1N,21.9N,15%,1,3,0.9 mm,3.3 mm,78.0 HC,4.4 mm,5.0 mm,Both sides (semi),Finger loop,Yes,True,3.0,4.0,3.0,Yes,Audience verdict 92 Superb! Top 5% in road running shoes Top 9% in ASICS running shoes Top 2% most popular running shoes,92,The Novablast 5 takes ASICS’ best-seller to new heights—literally and figuratively.,"Improved energy return with FF Blast MAX foam|Plushiest foam in a Novablast yet|Keeps the same price as v4|Higher stack height for extra cushioning|Enhanced flexibility|Lighter than its predecessor|Best Novablast ever for wide feet|Exceptional weight-to-cushion balance|Works for short, medium and long runs",Breathability could be improved|Toebox durability,"Runners wanting a versatile, cushioned, and comfortable daily trainer at a price below premium-tier options.|Fans of the Novablast 3 who felt the Novablast 4 as a downgrade. This version reintroduces the jacquard mesh upper and a more dynamic ride.|A running shoe with maximalist stack height that feels surprisingly lightweight.|Beginners in need of a single shoe capable of handling casual runs and occasional tempo training sessions.","The main update in the Novablast 5 is its softer foam, delivering a plush and cushioned ride. However, for runners favoring a firmer or more balanced feel underfoot, we recommend the Saucony Ride 17 or Brooks Ghost Max 2 as better options.|We also found grip to remain a concern, performing adequately on dry surfaces but falling short in wet conditions. For superior traction, the ASICS Superblast 2 is an excellent upgrade if budget permits, while the Puma Velocity Nitro 3 offers a more affordable alternative with excellent PumaGrip rubber.|Lastly, the Novablast 5’s wide dimensions and maximalist stack height may not appeal to those seeking a more nimble, agile shoe. In that case, we believe that the Hoka Mach 6 clearly stands out as the better option.",173.12
skechers-go-run-max-road-6,https://runrepeat.com/skechers-go-run-max-road-6,Skechers GO RUN Max Road 6,Skechers,Skechers Gorun|Skechers Go Run,3648880.0,IDR,Road,Jogging|Treadmill|Walking|All-day wear,,2024-11-27T15:26:54+00:00,Neutral Pronation|Supination|Underpronation,High arch,Heel strike|Forefoot|Midfoot strike,Daily running,Orthotic friendly|Cushioned|Carbon plate|Removable insole,All seasons,Normal,Mesh|Reflective,Breathable|For heavy runners|For big guys|Maximalist,,39.7 mm,31.6 mm,8.1 mm,19.8 HA,29.0 HA,47%,,,,,319.0,95.9 mm,100.7 mm,70.3 mm,77.2 mm,27.6 mm,113.8 mm,93.8 mm,4,,,29.3N,40.0N,36%,2,5,0.7 mm,2.9 mm,75.3 HC,5.3 mm,8.0 mm,None,Finger loop,Yes,True,4.0,3.0,3.0,Yes,Audience verdict 91 Superb! Top 7% in road running shoes Top 7% in neutral running shoes,91,"The Skechers GO RUN Max Road 6 shines for runners who prefer a maximalist shoe for easy-paced miles, jogs, or even just walking.","Maximalist yet affordable|Durable, grippy Goodyear outsole|Plush upper|Machine washable for convenience|Doubles as a walking shoe|Fantastic at easy paces|Rocker-enhanced transitions|CO2-infused midsole",Noticeably heavy|Struggles at faster paces|Lacks energy return,"Runners looking for a well-cushioned, durable daily trainer with exceptional comfort at an impressively affordable price point.|Skechers loyalists seeking a comfortable shoe for slow runs or jogs that also doubles as a good walking option.|Beginners wanting their first maximalist running shoe without worrying about breaking the bank.","From our perspective, the Skechers GO RUN Max Road 6 is going to feel too heavy for those prioritizing a lightweight running experience. In our testing, we found that its substantial weight can overshadow its cushioning benefits for some runners. Those seeking a lighter, high-stack shoe at a similar price point should get the ASICS Novablast 4 or Mizuno Neo Vista , which offer a better balance of comfort and weight.|Additionally, we believe the rockered midsole shape may not appeal to everyone. For those who prefer a flatter, more predictable ride with classic cushioning, the Brooks Ghost Max 2 is a more suitable option for daily training.",219.29
adidas-adizero-evo-sl,https://runrepeat.com/adidas-adizero-evo-sl,Adidas Adizero EVO SL,Adidas,Adidas Adizero,2880700.0,IDR,Road,Hyrox|Jogging|Treadmill,,2024-11-26T10:39:08+00:00,Neutral Pronation|Supination|Underpronation,High arch,Heel strike|Forefoot|Midfoot strike,Daily running|Tempo,Orthotic friendly|Cushioned|Removable insole|Rocker,Summer|All seasons,Normal|Wide,Mesh,Breathable|For heavy runners|Maximalist|Lightweight,Plantar fasciitis,36.1 mm,28.1 mm,8.0 mm,21.3 HA,24.0 HA,13%,147 SA,,74.3%,,223.0,97.5 mm,98.7 mm,71.6 mm,78.3 mm,28.1 mm,116.3 mm,87.3 mm,5,0.40,9.8N,19.2N,21.3N,11%,1,5,0.6 mm,1.6 mm,57.1 HC,2.4 mm,1.5 mm,None,None,Yes,True,5.0,4.0,3.0,No,Audience verdict 93 Superb! Top 1% in road running shoes Top 4% in Adidas running shoes Top 8% most popular running shoes,93,We really believe that the Adidas Adizero EVO SL has the potential to transform the running shoe industry.,100% Lightstrike Pro superfoam|Exceptional value-to-performance ratio|Low weight|Ultra-breathable upper|Unmatched versatility|Agile and fun ride|Handles short and long runs with ease|Striking Evo 1-inspired aesthetics,"Poor-quality laces|Short, non-gusseted tongue|Toebox durability","Beginners wanting a do-it-all shoe for training and racing that offers reliable performance at an unbeatable price.|Anyone seeking a speedy, durable and fun training partner.|Runners who dislike carbon plates but crave world-class performance and grip.|Those searching for a versatile shoe with premium foam without breaking the bank.","The EVO SL impressed us in many ways, but we think it’s not the best choice for runners with stability concerns. Its narrow midsole and lack of support make it unsuitable for those needing even mild support. In our view, a better alternative would be the ASICS Superblast 2 , which offers a more stable platform and an improved upper—addressing one of the EVO SL’s weakest points.|Additionally, we know this shoe won’t satisfy runners seeking the sensation of a plate. The EVO SL is designed for a more natural ride. For those desiring a plated trainer, we recommend the PUMA Deviate Nitro 3 or the Saucony Endorphin Speed 4 .|Finally, the limited early release by Adidas might make it impossible to spend your money on this shoe. If it’s unavailable but you’re seeking a similar experience, we believe the New Balance FuelCell Rebel v4 or the Nike Pegasus Plus offer the closest running feel to the EVO SL, both being widely available worldwide.",173.12
brooks-glycerin-max,https://runrepeat.com/brooks-glycerin-max,Brooks Glycerin Max,Brooks,Brooks Glycerin,3840930.0,IDR,Road,Jogging|Treadmill|Walking|All-day wear,,2024-11-14T06:56:23+00:00,Neutral Pronation|Supination|Underpronation,High arch,Heel strike|Forefoot|Midfoot strike,Daily running,Orthotic friendly|Sockless wear|Cushioned|Removable insole|Rocker,Summer|All seasons,Normal,Mesh|Reflective,Breathable|Comfortable|For heavy runners|For big guys|Maximalist,Shin splints,42.3 mm,35.7 mm,6.6 mm,19.9 HA,23.3 HA,17%,148 SA,,52.0%,,305.0,94.5 mm,98.0 mm,74.3 mm,79.1 mm,28.8 mm,118.8 mm,90.8 mm,5,,18.3N,32.9N,39.5N,20%,3,4,1.2 mm,3.1 mm,69.0 HC,6.0 mm,14.0 mm,None,Extended heel collar,Yes,True,5.0,4.0,3.0,Yes,Audience verdict 89 Great! Top 30% in road running shoes Top 22% in Brooks running shoes Top 4% most popular running shoes,89,The Glycerin Max is Brooks’ ambitious response to the rise of ultra-cushioned running shoes.,Massive impact dampening|Luxurious yet breathable upper|New DNA Tuned midsole|Eye-catching look|Surprisingly stable|Can be used as a walking shoe|Premium materials,Too heavy|Midsole lacks bounce﻿|Poor rubber coverage|High price tag,"Brooks fans who’ve turned to other brands for a true max-cushion shoe. It's finally here.|Runners seeking a plush, comfort-driven daily trainer that emphasizes support over speed.|Marathoners who value max protection on easy and recovery runs to help preserve their legs.|Anyone who loves Brooks' step-in feel and wants a running shoe that doubles as a sneaker.","One of the main issues with the Glycerin Max is its weight—it definitely could be lighter. This isn’t a problem for easy or slow-paced runs but could be a drawback for runners seeking a shoe that can handle faster speeds. There are better options at this price, like the ASICS Superblast 2 or Mizuno Neo Vista .|We also feel that the Glycerin Max's performance doesn’t justify its high price. The DNA Tuned midsole delivers similar energy return to the Hoka Mach 6 and ASICS Novablast 4 , yet it comes at a considerably higher cost—making it a tough choice for those after the best value.|Additionally, the limited rubber coverage on the outsole raised durability concerns here in the lab. For those prioritizing a sturdy, maximalist shoe with a better, more durable outsole, the Puma MagMax Nitro is a superior model.",230.83
n-normal-kjerag,https://runrepeat.com/n-normal-kjerag,NNormal Kjerag,NNormal,,3648880.0,IDR,Trail,Hiking,,2024-11-12T12:13:33+00:00,Neutral Pronation|Supination|Underpronation,High arch,Forefoot|Midfoot strike,,Sustainable,All seasons,Normal,Mesh,Lightweight,,25.0 mm,16.4 mm,8.6 mm,20.6 HA,27.6 HA,34%,115 SA,,56.5%,,214.0,94.4 mm,97.3 mm,72.2 mm,76.7 mm,31.2 mm,109.9 mm,80.9 mm,2,,6.3N,15.2N,18.3N,20%,3,2,1.0 mm,1.0 mm,88.0 HC,,1.5 mm,Both sides (semi),None,No,False,2.0,3.0,1.0,No,Audience verdict 93 Superb! Top 1% in trail running shoes Top 4% in lightweight running shoes,93,"We found the NNormal Kjerag to be an impressive first entry in the market for this new brand, bringing a fresh approach to trail racing shoes.","Premium materials|Vibram Megagrip outsole|Low carbon footprint|Race-ready fit|Lightweight|Stable, grounded ride with tons of feedback|Ideal for short races and skyrunning events|Handles corners with ease|Doubles as a hiking shoe",Not the best for heel strikers|High price tag|Limited breathability|No reflective elements,"Runners wanting a nimble, close-to-ground, fast-paced shoe for races and speed sessions.|Eco-focused athletes with a larger budget, prioritizing premium, sustainable materials.|Trail runners favoring agility and responsiveness over high-stack cushioning. And it works great for hiking too!|Anyone that loves the Spanish trail-running legend Kilian Jornet and wants to support his latest project!","The Kjerag is built for speed and performance, but we think it may not appeal to runners who feel that a fast shoe needs a world-class foam or a carbon plate. If that sounds like you, we recommend looking at options like the Nike Ultrafly or the Saucony Endorphin Edge , both designed to deliver a propulsive, high-energy feel in races or speed workouts.|Additionally, we believe the Kjerag demands advanced trail skills and works best with a midfoot or forefoot strike. For heel strikers or less experienced trail runners looking for extra cushioning, the Brooks Cascadia 18 or La Sportiva Prodigio could be a more reasonable purchase.",219.29
